student_id,avg_grade,total_approval_rate,is_first_choice,parents_education_score,financial_stress,status,student_segment
0,0.0,0.0,0,31,0,Dropout,3
1,13.833333333333332,1.0,1,4,0,Graduate,6
2,0.0,0.0,0,74,0,Dropout,2
3,12.914285714285715,0.9166666666666666,0,75,0,Graduate,4
4,12.666666666666668,0.9166666666666666,1,75,0,Graduate,8
5,11.678571428571429,1.0,1,74,0,Graduate,4
6,13.822500000000002,1.0,1,57,0,Graduate,4
7,0.0,0.0,0,74,0,Dropout,2
8,14.008928571428571,1.0,0,2,0,Graduate,6
9,12.45,0.5833333333333334,1,20,1,Dropout,7
10,13.266666666666666,0.9166666666666666,1,57,0,Graduate,4
11,13.214285714285714,0.875,1,57,0,Graduate,8
12,0.0,0.0,0,56,0,Dropout,2
13,10.785714285714285,0.9166666666666666,1,2,0,Graduate,6
14,12.625,0.9,1,75,0,Graduate,8
15,6.6,0.4166666666666667,1,56,0,Dropout,2
16,11.5,0.25,1,57,0,Enrolled,1
17,13.925625,1.0,0,20,0,Graduate,5
18,12.375,0.8,1,22,0,Graduate,7
19,12.583333333333332,0.8571428571428571,1,38,0,Enrolled,5
20,0.0,0.0,0,2,0,Graduate,3
21,11.43125,1.0,0,39,0,Enrolled,5
22,12.857142857142858,0.875,0,38,0,Graduate,5
23,12.830357142857142,1.0,0,39,0,Graduate,5
24,13.70547619047619,0.8666666666666667,1,38,0,Graduate,5
25,11.3,0.75,1,57,0,Enrolled,8
26,12.330357142857142,1.0,0,57,0,Graduate,4
27,12.833333333333332,0.9,1,38,0,Enrolled,5
28,12.166666666666668,1.0,1,20,0,Graduate,5
29,13.325,0.8571428571428571,0,6,0,Enrolled,6
30,11.214285714285715,0.8333333333333334,1,9,0,Enrolled,0
31,13.116666666666667,0.8333333333333334,1,45,0,Graduate,8
32,12.416666666666668,0.5,1,2,0,Enrolled,0
33,13.520833333333332,1.0,1,20,0,Graduate,5
34,12.914285714285715,1.0,1,39,0,Graduate,5
35,5.0,0.07142857142857142,1,75,1,Dropout,2
36,0.0,0.0,1,71,0,Dropout,2
37,11.0,0.3,1,74,0,Dropout,1
38,11.3,1.0,1,38,0,Graduate,5
39,11.833333333333332,0.5,1,8,1,Dropout,0
40,6.375,0.36363636363636365,0,6,0,Dropout,3
41,15.3,1.0,0,22,0,Graduate,5
42,14.135428571428571,0.8,0,4,0,Graduate,6
43,13.4,0.75,1,39,0,Dropout,7
44,0.0,0.0,1,74,0,Dropout,2
45,12.916666666666668,0.5,1,76,0,Enrolled,1
46,12.433333333333334,0.9166666666666666,0,38,0,Graduate,5
47,13.644047619047619,0.8666666666666667,0,56,0,Graduate,8
48,12.392857142857142,1.0,1,20,0,Graduate,5
49,12.583333333333334,0.9166666666666666,1,75,0,Graduate,8
50,13.916666666666666,1.0,1,57,0,Graduate,4
51,11.833333333333334,0.75,1,75,0,Enrolled,8
52,12.5,0.5833333333333334,1,20,0,Enrolled,7
53,15.257142857142856,1.0,0,74,0,Graduate,4
54,10.8,1.0,1,76,0,Dropout,4
55,13.319722222222222,1.0,1,20,0,Graduate,5
56,0.0,0.0,1,4,0,Dropout,3
57,12.95,0.8823529411764706,1,6,0,Dropout,6
58,14.935,1.0,1,76,0,Graduate,4
59,0.0,0.0,0,75,0,Enrolled,2
60,12.677380952380952,0.8666666666666667,0,38,0,Graduate,5
61,12.0,1.0,1,20,0,Graduate,5
62,0.0,0.0,0,38,0,Enrolled,3
63,10.7,0.5,1,2,0,Enrolled,0
64,0.0,0.0,1,2,0,Enrolled,3
65,11.45,0.6666666666666666,1,2,0,Dropout,0
66,0.0,0.0,0,38,0,Graduate,3
67,12.5,1.0,1,56,0,Graduate,4
68,10.975,0.9,0,39,0,Dropout,5
69,11.4,0.9166666666666666,1,56,0,Enrolled,8
70,0.0,0.0,1,75,0,Enrolled,2
71,12.8625,1.0,1,56,0,Graduate,4
72,0.0,0.0,1,38,0,Dropout,3
73,11.833333333333332,0.3333333333333333,0,75,0,Dropout,1
74,12.333333333333334,0.75,0,76,0,Graduate,8
75,10.595238095238095,0.6,0,38,0,Dropout,7
76,10.75,0.4166666666666667,0,56,0,Dropout,1
77,13.5,1.0,0,20,0,Graduate,5
78,14.94920634920635,1.0,0,75,0,Graduate,4
79,11.833333333333332,1.0,1,74,0,Graduate,4
80,12.2,0.8333333333333334,0,38,0,Dropout,7
81,0.0,0.0,1,6,0,Dropout,3
82,12.733333333333334,0.6666666666666666,1,6,0,Dropout,0
83,11.666666666666668,0.8,1,38,0,Enrolled,7
84,11.0,0.9166666666666666,1,74,0,Graduate,8
85,13.08,0.875,1,75,0,Graduate,8
86,11.05,0.9,1,20,0,Graduate,5
87,10.933333333333334,0.9166666666666666,1,57,0,Graduate,8
88,13.9,0.9,0,75,0,Enrolled,4
89,5.0,0.2,0,57,0,Enrolled,2
90,0.0,0.0,1,2,0,Dropout,3
91,13.75,1.0,0,20,0,Graduate,5
92,6.0,0.16666666666666666,1,2,0,Dropout,3
93,6.333333333333333,0.25,1,71,0,Dropout,2
94,12.104166666666668,1.0,1,56,0,Graduate,4
95,13.625,0.8,1,41,0,Enrolled,7
96,13.5,1.0,0,38,0,Graduate,5
97,14.11388888888889,1.0,0,74,0,Graduate,4
98,14.0,1.0,1,3,0,Enrolled,6
99,5.98,0.2857142857142857,0,6,1,Dropout,3
100,13.1375,0.6842105263157895,1,76,0,Dropout,1
101,0.0,0.0,0,2,0,Graduate,3
102,0.0,0.0,1,74,0,Dropout,2
103,14.431174089068826,1.0,1,74,0,Graduate,4
104,0.0,0.0,1,38,0,Dropout,3
105,12.636363636363637,1.0,1,4,0,Graduate,6
106,0.0,0.0,0,75,0,Dropout,2
107,13.725,0.6666666666666666,1,2,0,Dropout,0
108,12.783333333333333,0.7857142857142857,0,7,0,Dropout,0
109,12.333333333333332,0.6428571428571429,0,20,0,Enrolled,7
110,14.428571428571429,1.0,1,74,0,Graduate,4
111,12.0,0.6,0,39,0,Enrolled,7
112,13.100000000000001,1.0,1,38,0,Graduate,5
113,12.619047619047619,1.0,0,39,0,Graduate,5
114,12.516666666666666,0.8571428571428571,0,74,0,Dropout,8
115,12.308333333333334,0.9285714285714286,1,76,0,Enrolled,8
116,10.375,0.5,1,56,0,Enrolled,1
117,10.5,0.6,1,38,0,Enrolled,7
118,12.271428571428572,1.0,0,75,0,Graduate,4
119,13.3,1.0,1,21,0,Graduate,5
120,11.0,0.4166666666666667,1,2,0,Dropout,0
121,11.025,0.9,0,38,0,Graduate,5
122,0.0,0.0,1,22,0,Dropout,3
123,13.5,1.0,1,76,0,Graduate,4
124,13.183333333333334,1.0,1,57,0,Graduate,4
125,6.05,0.35714285714285715,0,2,0,Dropout,3
